left_id;Merek Dagang;Alamat Pu;No Daftar;Tgl Daftar;No Sert;Tgl Sert;Tgl Valid;right_id;Name;Address;Website;Plus_Code;Rating;Reviews;URL;jaccard;label
203;bellin bakery;sidosermo airdas a 12 sidosermo wonocolo 60239;35-1-0221-1068;17 February, 2021, 00:00;ID35110000198150221;25 November, 2021, 00:00;25 November, 2025, 00:00;3263;bellin bakery;sidosermo airdas a 12 sidosermo wonocolo 60239;https://bellinbakery.com/;MQM2+V9 Sidosermo, Surabaya City, East Java;5;39;https://www.google.com/maps/place/BELLIN+BAKERY/@-7.3152903,112.7422555,15z/data=!4m6!3m5!1s0x2dd7fbb13b891a61:0x5941fb0f42a42612!8m2!3d-7.3153117!4d112.7509888!16s%2Fg%2F11tg6q74vr?hl=en;1;1
1248;kopi kenangan ciputra world surabaya;ciputra world lg mayjen sungkono 89 gn sari dukuhpakis 60224;;;;;6 October, 2022, 00:00;3069;kopi kenangan ciputra world surabaya;ciputra world lg mayjen sungkono 89 gn sari dukuhpakis 60224;http://www.kopikenangan.com/;PP49+RM Gunung Sari, Surabaya City, East Java;4.4;24;https://www.google.com/maps/place/Kopi+Kenangan+-+Ciputra+World+Surabaya/@-7.3506092,112.6375535,12z/data=!4m10!1m2!2m1!1skopi+kenangan+surabaya!3m6!1s0x2dd7fb01e948d3b3:0x2af9bd5ccb1f484b!8m2!3d-7.2929259!4d112.7191295!15sChZrb3BpIGtlbmFuZ2FuIHN1cmFiYXlhIgOIAQFaGCIWa29waSBrZW5hbmdhbiBzdXJhYmF5YZIBC2NvZmZlZV9zaG9w4AEA!16s%2Fg%2F11h_4038mg?hl=en;1;1
1347;bakmi gm galaxy mall 3;galaxy mall 3 dr ir h soekarno 3 mulyorejo mulyorejo 60115;;;;;14 April, 2022, 00:00;3178;bakmi gm galaxy mall 3;galaxy mall 3 dr ir h soekarno 3 mulyorejo mulyorejo 60115;http://bakmigm.com/;PQFJ+C4 Mulyorejo, Surabaya City, East Java;4.5;396;https://www.google.com/maps/place/Bakmi+GM+Galaxy+Mall+3/@-7.3136272,112.6248977,13z/data=!4m10!1m2!2m1!1sbakmi+gm+surabaya!3m6!1s0x2dd7fb40a1af2ea1:0xdeae9e417b9939d7!8m2!3d-7.2764355!4d112.7803041!15sChFiYWttaSBnbSBzdXJhYmF5YSIDiAEBWhMiEWJha21pIGdtIHN1cmFiYXlhkgELbm9vZGxlX3Nob3DgAQA!16s%2Fg%2F11fl87yqbn?hl=en;1;1
1398;mixue ice cream tea sukolilo;semampir utara 62 rt 001 rw 01 medokan semampir sukolilo 60119;;;ID00410001326911122;;;3307;mixue ice cream tea sukolilo;semampir utara 62 rt 001 rw 01 medokan semampir sukolilo 60119;;MQWJ+2G Medokan Semampir, Surabaya City, East Java;4.6;42;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Sukolilo/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb9be1966f77:0x61d2e4cde4189515!8m2!3d-7.3049675!4d112.7813597!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11thhphwfh?hl=en;1;1
1375;gokana ramen teppan transmart rungkut;transmart rungkut raya kalirungkut 25 kali rungkut rungkut 60293;;;;;7/21/2022 0:00;2922;gokana ramen teppan transmart rungkut;transmart rungkut raya kalirungkut 25 kali rungkut rungkut 60293;http://www.gokanaresto.com/;MQHC+J4 Kali Rungkut, Surabaya City, East Java;4.2;464;https://www.google.com/maps/place/Gokana+Ramen+Teppan+TransMart+Rungkut/@-7.2890302,112.5883865,12z/data=!4m10!1m2!2m1!1sgokana+surabaya!3m6!1s0x2dd7fb1f30eebdaf:0xe2def69685fc476b!8m2!3d-7.320891!4d112.770359!15sCg9nb2thbmEgc3VyYWJheWFaESIPZ29rYW5hIHN1cmFiYXlhkgETamFwYW5lc2VfcmVzdGF1cmFudOABAA!16s%2Fg%2F11c6s1_lwq?hl=en;1;1
1400;mixue ice cream tea manukan;manukan tama 1 manukan kulon tandes 60185;;;ID00410001326911122;;;3305;mixue ice cream tea manukan;manukan tama 1 manukan kulon tandes 60185;;PMQ8+PX Manukan Kulon, Surabaya City, East Java;4.4;176;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Manukan/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7ff0a6877f171:0x894101baba6a306c!8m2!3d-7.2606955!4d112.6673951!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11t3_1tvkm?hl=en;1;1
1403;mixue ice cream tea raya dukuh kupang;raya dukuh kupang 47a putat jaya sawahan 60225;;;ID00410001326911122;;;3302;mixue ice cream tea raya dukuh kupang;raya dukuh kupang 47a putat jaya sawahan 60225;;PMQ8+PX Manukan Kulon, Surabaya City, East Java;4.4;176;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Manukan/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7ff0a6877f171:0x894101baba6a306c!8m2!3d-7.2606955!4d112.6673951!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11t3_1tvkm?hl=en;1;1
556;ichirank;rungkut asri barat 13 24 rungkut kidul rungkut 60293;35-1-1120-1517;19 November, 2020, 00:00;ID35110000098661120;22 June, 2021, 00:00;22 June, 2025, 00:00;3240;ichirank;rungkut asri barat 13 24 rungkut kidul rungkut 60293;;MQ9F+VH Rungkut Kidul, Surabaya City, East Java;;;https://www.google.com/maps/place/Ichirank/@-7.3302295,112.7652505,15z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fba604e5a36d:0x3252b09a48ea99d9!8m2!3d-7.3302509!4d112.7739838!16s%2Fg%2F11jh96fwvp?hl=en;1;1
398;bandeng juwana;ngagel jaya utara 103 1 baratajaya gubeng 60284;SH2022-1-026832;29 June, 2022, 00:00;ID35110000409590622;1 July, 2022, 00:00;1 July, 2026, 00:00;3222;bandeng juwana;ngagel jaya utara 103 1 baratajaya gubeng 60284;http://www.bandengjuwana.id/;PQ65+CJ Baratajaya, Surabaya City, East Java;4.6;147;https://www.google.com/maps/place/BANDENG+JUWANA/@-7.28895,112.6890432,12z/data=!4m10!1m2!2m1!1sBandeng+Juwana!3m6!1s0x2dd7fbb42e6a0b73:0xd67664961e3ddfaa!8m2!3d-7.28895!4d112.759081!15sCg5CYW5kZW5nIEp1d2FuYSIDiAEBWhAiDmJhbmRlbmcganV3YW5hkgEFc3RvcmXgAQA!16s%2Fg%2F1tsq8649?hl=en;1;1
1397;mixue ice cream tea tambaksari;pacar keling 7 pacar keling tambaksari 60131;;;ID00410001326911122;;;3308;mixue ice cream tea tambaksari;pacar keling 7 pacar keling tambaksari 60131;;PQR3+QR Pacar Keling, Surabaya City, East Java;4.7;52;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Tambaksari/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7f949d25c77a5:0xd69e1446bf675f63!8m2!3d-7.2580502!4d112.7545339!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11s69syj6y?hl=en;1;1
1341;ayam nelongso dharmawangsa;dharmawangsa 94 airlangga gubeng 60286;;;;;6 January, 2023, 00:00;3194;ayam nelongso dharmawangsa;dharmawangsa 94 airlangga gubeng 60286;http://www.nelongso.com/;PQG4+FC Airlangga, Surabaya City, East Java;4.3;2,774;https://www.google.com/maps/place/Ayam+Nelongso+Dharmawangsa/@-7.3030292,112.7066486,13z/data=!4m10!1m2!2m1!1sayam+nelongso+surabaya!3m6!1s0x2dd7fba76a3f5a8f:0xb0a884324595d621!8m2!3d-7.273782!4d112.7561104!15sChZheWFtIG5lbG9uZ3NvIHN1cmFiYXlhIgOIAQFaGCIWYXlhbSBuZWxvbmdzbyBzdXJhYmF5YZIBEmNoaWNrZW5fcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSck9EbElORmwzRUFF4AEA!16s%2Fg%2F11fhryf3p4?hl=en;1;1
1367;richeese factory manyar;manyar kertoarjo 59 mojo gubeng 60285;;;;;16 June, 2022, 00:00;2992;richeese factory manyar;manyar kertoarjo 59 mojo gubeng 60285;http://www.richeesefactory.com/;PQC9+2M Mojo, Surabaya City, East Java;4.5;3,140;https://www.google.com/maps/place/Richeese+Factory+Manyar/@-7.265198,112.7137331,14z/data=!4m10!1m2!2m1!1sricheese+surabaya!3m6!1s0x2dd7fb1b27856dd5:0x7e1b0f7aa214d18c!8m2!3d-7.2798857!4d112.7691802!15sChFyaWNoZWVzZSBzdXJhYmF5YSIDiAEBWhMiEXJpY2hlZXNlIHN1cmFiYXlhkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11gr094xg1?hl=en;1;1
1387;mixue ice cream tea ngagel;ngagel jaya 57 pucang sewu gubeng 60283;;;ID00410001326911122;;;3319;mixue ice cream tea ngagel;ngagel jaya 57 pucang sewu gubeng 60283;;PQ54+FC Pucang Sewu, Surabaya City, East Java;4.5;408;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Ngagel/@-7.2732674,112.6753936,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb7a1970999b:0xfdc37a7c6b2b26f!8m2!3d-7.2913233!4d112.7560165!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11q4cg6g7d?hl=en;1;1
1402;mixue ice cream tea ngagel rejo;ngagel rejo kidul 43 ngagelrejo wonokromo 60245;;;ID00410001326911122;;;3303;mixue ice cream tea ngagel rejo;ngagel rejo kidul 43 ngagelrejo wonokromo 60245;;PP3W+7H Ngagelrejo, Surabaya City, East Java;4.1;22;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Ngagel+Rejo/@-7.2788329,112.6957981,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb4395a8b5b5:0x19b2ad2726b99081!8m2!3d-7.2968285!4d112.7464236!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11sb3qhp92?hl=en;1;1
1394;mixue ice cream tea dharmahusada;dharmahusada 121 c mojo gubeng 60285;;;ID00410001326911122;;;3312;mixue ice cream tea dharmahusada;dharmahusada 121 c mojo gubeng 60285;;PQG4+QF Airlangga, Surabaya City, East Java;4.5;136;https://www.google.com/maps/place/Mixue+Dharmawangsa/@-7.255956,112.6491142,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb5ea7ffbea1:0x9f9c383f4b8903c9!8m2!3d-7.2730622!4d112.7561359!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11t62yzn28?hl=en;1;1
1412;mixue ice cream tea darmo indah;darmo indah timur eu 7 tandes 60187;;;ID00410001326911122;;;3291;mixue ice cream tea darmo indah;darmo indah timur eu 7 tandes 60187;https://www.instagram.com/mixue.darmoindah/;PMPP+7Q Tandes, Surabaya City, East Java;4.5;12;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Darmo+Indah/@-7.2828791,112.5910828,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7ffd5bb55cbe5:0x6e59e3a03e08f253!8m2!3d-7.2642517!4d112.6869913!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11shnpbw4m?hl=en;1;1
1389;mixue ice cream tea royal plaza;ahmad yani 16 18 wonokromo wonokromo 60243;;;ID00410001326911122;;;3317;mixue ice cream tea royal plaza;ahmad yani 16 18 wonokromo wonokromo 60243;;MPRM+6Q Wonokromo, Surabaya City, East Java;4.3;65;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+Royal+Plaza/@-7.3094875,112.6644109,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fb6f0689eb09:0x7a8681ef4ac544db!8m2!3d-7.3094875!4d112.7344487!15sChFtaXh1ZSBkaSBzdXJhYmF5YZIBGmZvb2RfYW5kX2JldmVyYWdlX2V4cG9ydGVy4AEA!16s%2Fg%2F11t4l_wqp1?hl=en;1;1
1355;a w plaza surabaya;plaza lantai 2 pemuda 33 37 embong kaliasin genteng 60271;;;;;16 March, 2023, 00:00;2905;a w plaza surabaya;plaza lantai 2 pemuda 33 37 embong kaliasin genteng 60271;;PPMX+W7 Embong Kaliasin, Surabaya City, East Java;4.2;165;https://www.google.com/maps/place/A%26W+-+Plaza+Surabaya/@-7.2644047,112.6783345,13z/data=!3m1!5s0x2dd7f9623be241d9:0x463d19fd38e47b6d!4m10!1m2!2m1!1sa%26w+surabaya!3m6!1s0x2dd7f962ebf00b1f:0x10c73241da5f81a1!8m2!3d-7.2651427!4d112.7481841!15sCgxhJncgc3VyYWJheWEiA4gBAVoOIgxhJncgc3VyYWJheWGSARRmYXN0X2Zvb2RfcmVzdGF1cmFudOABAA!16s%2Fg%2F1hm55dz2n?hl=en;1;1
1264;teman ngupi store;jemur wonosari gg modin 10d jemur wonosari wonocolo 60237;SH2021-1-018627;18 December, 2021, 00:00;ID35110000209701221;29 December, 2021, 00:00;29 December, 2025, 00:00;3258;teman ngupi store;gg modin 10d jemur wonosari wonocolo 60237;https://teman-ngupi.business.site/;MPHQ+J7 Jemur Wonosari, Surabaya City, East Java;5;4;https://www.google.com/maps/place/Teman+Ngupi+Store/@-7.320877,112.73819,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fb6cda8d544d:0x2ea7ac09a80f50d1!8m2!3d-7.320877!4d112.73819!16s%2Fg%2F11g9m50trx?hl=en;1;1
1362;cfc grand city mall surabaya;grand city ketabang genteng 60272;;;;;17 November, 2022, 00:00;2890;cfc grand city mall surabaya;grand city ketabang genteng 60272;;PQQ2+95 Ketabang, Surabaya City, East Java;2;11;https://www.google.com/maps/place/CFC+Grand+City+Mall+Surabaya/@-7.2597398,112.6740025,13z/data=!4m11!1m3!2m2!1stempat+makan+di+surabaya+timur!6e5!3m6!1s0x2dd7f9b79d89feb7:0xe8f46de258d0bfb5!8m2!3d-7.2615886!4d112.7504172!15sCh50ZW1wYXQgbWFrYW4gZGkgc3VyYWJheWEgdGltdXJaICIedGVtcGF0IG1ha2FuIGRpIHN1cmFiYXlhIHRpbXVykgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11fq6m5h6c?hl=en;1;1
1421;mixue ice cream tea pakuwon mall;pakuwon trade centre lantai 1 fc 032a mayjend jonosewojo babatan wiyung 60216;;;ID00410001326911122;;;3277;mixue ice cream tea pakuwon mall;pakuwon trade centre lantai 1 fc 032a mayjend jonosewojo babatan wiyung 60227 60216;https://www.instagram.com/mixuepakuwonmall/?hl=id;PMCP+9P Pradahkalikendal, Surabaya City, East Java;3.3;8;https://www.google.com/maps/place/Mixue+Ice+Cream+%26+Tea+-+Pakuwon+Mall/@-7.2849713,112.6243386,13z/data=!4m11!1m3!2m2!1smixue+di+surabaya!6e5!3m6!1s0x2dd7fd464f26e49b:0x4820a5d32b292e77!8m2!3d-7.279094!4d112.6868598!15sChFtaXh1ZSBkaSBzdXJhYmF5YVoTIhFtaXh1ZSBkaSBzdXJhYmF5YZIBDmljZV9jcmVhbV9zaG9w4AEA!16s%2Fg%2F11s9z4l7bk?hl=en;0.961538462;1
99;the dapoer 31;perumahan griya amerta j 20 medokan ayu rungkut 60295;SH2021-1-011167;24 October, 2021, 00:00;ID35110000208441021;18 January, 2022, 00:00;18 January, 2026, 00:00;3267;the dapoer 31;perumahan griya amerta j 20 medokan ayu rungkut city 60295;;MRJ5+95 Medokan Ayu, Surabaya City, East Java;5;7;https://www.google.com/maps/place/The+dapoer+31/@-7.3190563,112.8079545,17z/data=!4m6!3m5!1s0x2dd7fb98014f4019:0x2f3f5c1222cdb96e!8m2!3d-7.3190563!4d112.8079545!16s%2Fg%2F11qpf7f2rg?hl=en;0.95;1
