Nama Pu,Alamat Pu,Kota Pu,Prov Pu,Kode Pos Pu,Nama Jenis Produk,Merek Dagang,Jml Produk,No Daftar,Tgl Daftar,No Sert,Tgl Sert,Tgl Valid,Nama Produk
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger Merah
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long Burger Ungu
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long John
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Long John Hijau
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta 1
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta 1 Hitam
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta 2
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta 2 Hitam
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta Biru
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta Coklat
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta Hijau
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta Kuning
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta Merah
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Pizza Malta Ungu
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Roti Maryam
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Submarine
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tawar
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tawar Malta
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tawar Sixsak
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00",Tortilla biru
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Coklat
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Gandum
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Hijau
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Hitam
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Kuning
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Merah
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Ori
CV. Boga Jaya Prima,Jl. Penjaringan Sari Blok PS II D No. 9 Kel. Penjaringan Sari Kec. Rungkut ,Kota Surabaya,Jawa Timur,60297,Roti dan Kue,,49,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00", Tortilla Ungu
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Kacang Bawang Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Keripik Kentang Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Keripik Pisang Bulat Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Keripik Pisang Sale Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Keripik Singkong Asin Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Keripik Singkong Balado Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Keripik Singkong Manis Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Keripik Talas Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Kerupuk Kentang Rasa Balado Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Kerupuk Kentang Rasa Sapi Panggang  Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Kerupuk Stik Pedas Balado  Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Makaroni Goreng Balado  Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Makaroni Goreng Original  Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Makaroni Sepat Goreng Balado Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Makaroni Sepat Goreng Sapi Panggang Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Makaroni Sepat Jeruk Purut Cap Deli Snack
CV. Mekar Sekawan,Jl. Darmo Permai Selatan 17 No. 19,Kota Surabaya,Jawa Timur,60226,Makanan Ringan,,17,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00",Marning Jagung  Cap Deli Snack
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00",Sosis Solo
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Brownis Kukus
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Kroket
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Risoles
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Kue Tok
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Pastel
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Pie Buah
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Pie Brownis
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Singkong Pelangi
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Klepon
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Bolu Kukus
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Kue Lumpur
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Prol Tape
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Marmer Cake
D & D,Jl. Kedung Anyar Gang Bei No. 10 RT. 06 RW. 13 Kel. Sawahan Kec. Sawahan,Kota Surabaya,Jawa Timur,60251,Roti dan Kue,,15,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00", Onde - Onde
PT. SATORIA AGRO INDUSTRI,"Satoria Tower Lantai 27-28 Jl. Pradah Jaya I No. 01, Desa/Kel. Pradah Kalikendal, Kec. Dukuh Pakis",Kota Surabaya,Jawa Timur,60226,Buah dan sayur dengan pengolahan dan penambahan bahan tambahan pangan,----,5,SH2022-1-003066,"10 March, 2022, 00:00",ID00410000264420322,"23 June, 2022, 00:00","23 June, 2026, 00:00",Santan Bubuk
PT. SATORIA AGRO INDUSTRI,"Satoria Tower Lantai 27-28 Jl. Pradah Jaya I No. 01, Desa/Kel. Pradah Kalikendal, Kec. Dukuh Pakis",Kota Surabaya,Jawa Timur,60226,Buah dan sayur dengan pengolahan dan penambahan bahan tambahan pangan,----,5,SH2022-1-003066,"10 March, 2022, 00:00",ID00410000264420322,"23 June, 2022, 00:00","23 June, 2026, 00:00", SACC 1
PT. SATORIA AGRO INDUSTRI,"Satoria Tower Lantai 27-28 Jl. Pradah Jaya I No. 01, Desa/Kel. Pradah Kalikendal, Kec. Dukuh Pakis",Kota Surabaya,Jawa Timur,60226,Buah dan sayur dengan pengolahan dan penambahan bahan tambahan pangan,----,5,SH2022-1-003066,"10 March, 2022, 00:00",ID00410000264420322,"23 June, 2022, 00:00","23 June, 2026, 00:00", SACC 2
